Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
ICBC,134.8,37.8,97,2813.5,237.3,China,Asia,35.86166,104.195397
China Construction Bank,113.1,30.6,82.5,2241,202,China,Asia,35.86166,104.195397
JPMorgan Chase,108.2,21.3,86.9,2359.1,191.4,USA,North America,37.09024,-95.712891
General Electric,147.4,13.6,133.8,685.3,243.7,USA,North America,37.09024,-95.712891
Exxon Mobil,420.7,44.9,375.8,333.8,400.4,USA,North America,37.09024,-95.712891
HSBC Holdings,104.9,14.3,90.6,2684.1,201.3,UK,Europe,55.378051,-3.435973
Royal Dutch Shell,467.2,26.6,440.6,360.3,213.1,The Netherlands,Europe,52.132633,5.291266
Agricultural Bank of China,103,23,80,2124.2,150.8,China,Asia,35.86166,104.195397
PetroChina,308.9,18.3,290.6,347.8,261.2,China,Asia,35.86166,104.195397
Berkshire Hathaway,162.5,14.8,147.7,427.5,252.8,USA,North America,37.09024,-95.712891
Bank of China,98.1,22.1,76,2033.8,131.7,China,Asia,35.86166,104.195397
Wells Fargo,91.2,18.9,72.3,1423,201.3,USA,North America,37.09024,-95.712891
Chevron,222.6,26.2,196.4,233,232.5,USA,North America,37.09024,-95.712891
Volkswagen Group,254,28.6,225.4,408.2,94.4,Germany,Europe,51.165691,10.451526
Wal-Mart Stores,469.2,17,452.2,203.1,242.5,USA,North America,37.09024,-95.712891
Apple,164.7,41.7,123,196.1,416.6,USA,North America,37.09024,-95.712891
Gazprom,144,40.6,103.4,339.3,111.4,Russia,Europe,61.52401,105.318756
BP,370.9,11.6,359.3,301,130.4,UK,Europe,55.378051,-3.435973
Citigroup,90.7,7.5,83.2,1864.7,143.6,USA,North America,37.09024,-95.712891
Petrobras,144.1,11,133.1,331.6,120.7,Brazil,South America,-14.235004,-51.92528
Samsung Electronics,187.8,21.7,166.1,196.3,174.4,South Korea,Asia,35.907757,127.766922
BNP Paribas,126.2,8.6,117.6,2504.2,71.3,France,Europe,46.227638,2.213749
Total,240.5,14.1,226.4,224.1,114.4,France,Europe,46.227638,2.213749
AT&T,127.4,7.3,120.1,272.3,200.1,USA,North America,37.09024,-95.712891
